"sampleID","genotype","treatment_protocol","timepoint","fullSampleID","sex","experimentalBatch","treatment","genotype_treatment","genotype_timepoint","genotype_timepoint_treatment","genotype_timepoint_treatment_batch","seq_run","cell_set","sampleID_original","sampleID_unique"
"SAB71","D21","1uM RA D3-D5","D10","S4D21_D10_RA_1","M","1","RA","D21_RA","D21_D10","D21_D10_RA","D21_D10_RA_1","2","Set4","SAB71","Set4_SAB71"
"SAB72","T21","1uM RA D3-D5","D10","S4T21_D10_RA_1","M","1","RA","T21_RA","T21_D10","T21_D10_RA","T21_D10_RA_1","2","Set4","SAB72","Set4_SAB72"
"SAB74","T21","No Treatment","D8","S4T21_D8_NT_3","M","3","CTRL","T21_CTRL","T21_D8","T21_D8_CTRL","T21_D8_CTRL_3","2","Set4","SAB74","Set4_SAB74"
"SAB76","T21","1uM RA D3-D5","D8","S4T21_D8_RA_3","M","3","RA","T21_RA","T21_D8","T21_D8_RA","T21_D8_RA_3","2","Set4","SAB76","Set4_SAB76"
"SAB78","T21","No Treatment","D10","S4T21_D10_NT_3","M","3","CTRL","T21_CTRL","T21_D10","T21_D10_CTRL","T21_D10_CTRL_3","2","Set4","SAB78","Set4_SAB78"
"SAB80","T21","1uM RA D3-D5","D10","S4T21_D10_RA_3","M","3","RA","T21_RA","T21_D10","T21_D10_RA","T21_D10_RA_3","2","Set4","SAB80","Set4_SAB80"
"SAB81","D21","No Treatment","D8","S4D21_D8_NT_4","M","4","CTRL","D21_CTRL","D21_D8","D21_D8_CTRL","D21_D8_CTRL_4","2","Set4","SAB81","Set4_SAB81"
"SAB82","T21","No Treatment","D8","S4T21_D8_NT_4","M","4","CTRL","T21_CTRL","T21_D8","T21_D8_CTRL","T21_D8_CTRL_4","2","Set4","SAB82","Set4_SAB82"
"SAB83","D21","1uM RA D3-D5","D8","S4D21_D8_RA_4","M","4","RA","D21_RA","D21_D8","D21_D8_RA","D21_D8_RA_4","2","Set4","SAB83","Set4_SAB83"
"SAB84","T21","1uM RA D3-D5","D8","S4T21_D8_RA_4","M","4","RA","T21_RA","T21_D8","T21_D8_RA","T21_D8_RA_4","2","Set4","SAB84","Set4_SAB84"
"SAB85","D21","No Treatment","D10","S4D21_D10_NT_4","M","4","CTRL","D21_CTRL","D21_D10","D21_D10_CTRL","D21_D10_CTRL_4","2","Set4","SAB85","Set4_SAB85"
"SAB86","T21","No Treatment","D10","S4T21_D10_NT_4","M","4","CTRL","T21_CTRL","T21_D10","T21_D10_CTRL","T21_D10_CTRL_4","2","Set4","SAB86","Set4_SAB86"
"SAB87","D21","1uM RA D3-D5","D10","S4D21_D10_RA_4","M","4","RA","D21_RA","D21_D10","D21_D10_RA","D21_D10_RA_4","2","Set4","SAB87","Set4_SAB87"
"SAB88","T21","1uM RA D3-D5","D10","S4T21_D10_RA_4","M","4","RA","T21_RA","T21_D10","T21_D10_RA","T21_D10_RA_4","2","Set4","SAB88","Set4_SAB88"
