sampleID_unique,score,module,sampleID,genotype,treatment_protocol,timepoint,fullSampleID,sex,experimentalBatch,treatment,genotype_treatment,genotype_timepoint,genotype_timepoint_treatment,genotype_timepoint_treatment_batch,seq_run,cell_set,sampleID_original,group,day_num
Set3_SAB08,-0.14973479056949246,xu_ventricular,SAB08,T21,No Treatment,D6,S3T21 _D6_ctrl_1,F,1,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_1,1,Set3,SAB08,T21_CTRL_D6,6
Set3_SAB09,-0.1774696130831812,xu_ventricular,SAB09,D21,1uM RA D3-D5,D6,S3D21_D6_RA_1,F,1,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_1,1,Set3,SAB09,D21_RA_D6,6
Set3_SAB10,-0.1403925651334904,xu_ventricular,SAB10,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_1,F,1,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_1,1,Set3,SAB10,T21_RA_D6,6
Set3_SAB11,-0.0427202806442854,xu_ventricular,SAB11,D21,No Treatment,D8,S3D21_D8_ctrl_1,F,1,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_1,1,Set3,SAB11,D21_CTRL_D8,8
Set3_SAB12,-0.05390220139073415,xu_ventricular,SAB12,T21,No Treatment,D8,S3T21 _D8_ctrl_1,F,1,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_1,1,Set3,SAB12,T21_CTRL_D8,8
Set3_SAB13,-0.050723753849638675,xu_ventricular,SAB13,D21,1uM RA D3-D5,D8,S3D21_D8_RA_1,F,1,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_1,1,Set3,SAB13,D21_RA_D8,8
Set3_SAB14,-0.03542829181313806,xu_ventricular,SAB14,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_1,F,1,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_1,1,Set3,SAB14,T21_RA_D8,8
Set3_SAB15,-0.0016661802436760964,xu_ventricular,SAB15,D21,No Treatment,D10,S3D21_D10_ctrl_1,F,1,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_1,1,Set3,SAB15,D21_CTRL_D10,10
Set3_SAB16,-0.011854926884090511,xu_ventricular,SAB16,T21,No Treatment,D10,S3T21 _D10_ctrl_1,F,1,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_1,1,Set3,SAB16,T21_CTRL_D10,10
Set3_SAB17,-0.015664998308409617,xu_ventricular,SAB17,D21,1uM RA D3-D5,D10,S3D21_D10_RA_1,F,1,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_1,1,Set3,SAB17,D21_RA_D10,10
Set3_SAB18,-0.01647812330750209,xu_ventricular,SAB18,T21,1uM RA D3-D5,D10,S3T21 _D10_RA_1,F,1,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_1,1,Set3,SAB18,T21_RA_D10,10
Set3_SAB19,-0.3442459064238327,xu_ventricular,SAB19,D21,No Treatment,D3,S3D21_D3_ctrl_2,F,2,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_2,1,Set3,SAB19,D21_CTRL_D3,3
Set3_SAB20,-0.34179636736406654,xu_ventricular,SAB20,T21,No Treatment,D3,S3T21 _D3 _ctrl_2,F,2,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_2,1,Set3,SAB20,T21_CTRL_D3,3
Set3_SAB21,-0.3173735772127527,xu_ventricular,SAB21,D21,No Treatment,D4,S3D21_D4_ctrl_2,F,2,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_2,1,Set3,SAB21,D21_CTRL_D4,4
Set3_SAB22,-0.3134284689582272,xu_ventricular,SAB22,T21,No Treatment,D4,S3T21 _D4 _ctrl_2,F,2,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_2,1,Set3,SAB22,T21_CTRL_D4,4
Set3_SAB23,-0.3179326006496288,xu_ventricular,SAB23,D21,1uM RA D3-D5,D4,S3D21_D4_RA_2,F,2,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_2,1,Set3,SAB23,D21_RA_D4,4
Set3_SAB24,-0.30478175579823463,xu_ventricular,SAB24,T21,1uM RA D3-D5,D4,S3T21 _D4_RA_2,F,2,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_2,1,Set3,SAB24,T21_RA_D4,4
Set3_SAB25,-0.18625281508230712,xu_ventricular,SAB25,D21,No Treatment,D6,S3D21_D6_ctrl_2,F,2,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_2,1,Set3,SAB25,D21_CTRL_D6,6
Set3_SAB26,-0.22442758178077282,xu_ventricular,SAB26,T21,No Treatment,D6,S3T21 _D6_ctrl_2,F,2,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_2,1,Set3,SAB26,T21_CTRL_D6,6
Set3_SAB27,-0.22397600700449105,xu_ventricular,SAB27,D21,1uM RA D3-D5,D6,S3D21_D6_RA_2,F,2,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_2,1,Set3,SAB27,D21_RA_D6,6
Set3_SAB28,-0.16669135081842484,xu_ventricular,SAB28,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_2,F,2,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_2,1,Set3,SAB28,T21_RA_D6,6
Set3_SAB29,-0.09320953505222151,xu_ventricular,SAB29,D21,No Treatment,D8,S3D21_D8_ctrl_2,F,2,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_2,1,Set3,SAB29,D21_CTRL_D8,8
Set3_SAB30,-0.10185189218543317,xu_ventricular,SAB30,T21,No Treatment,D8,S3T21 _D8_ctrl_2,F,2,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_2,1,Set3,SAB30,T21_CTRL_D8,8
Set3_SAB31,-0.14603216780576772,xu_ventricular,SAB31,D21,1uM RA D3-D5,D8,S3D21_D8_RA_2,F,2,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_2,1,Set3,SAB31,D21_RA_D8,8
Set3_SAB32,-0.10062494464215965,xu_ventricular,SAB32,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_2,F,2,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_2,1,Set3,SAB32,T21_RA_D8,8
Set3_SAB33,-0.06902923039170844,xu_ventricular,SAB33,D21,No Treatment,D10,S3D21_D10_ctrl_2,F,2,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_2,1,Set3,SAB33,D21_CTRL_D10,10
Set3_SAB34,-0.046868670148584035,xu_ventricular,SAB34,T21,No Treatment,D10,S3T21 _D10_ctrl_2,F,2,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_2,1,Set3,SAB34,T21_CTRL_D10,10
Set3_SAB35,-0.12709797139832818,xu_ventricular,SAB35,D21,1uM RA D3-D5,D10,S3D21_D10_RA_2,F,2,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_2,1,Set3,SAB35,D21_RA_D10,10
Set3_SAB36,-0.07767013551599317,xu_ventricular,SAB36,T21,1uM RA D3-D5,D10,S3T21 _D10_RA_2,F,2,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_2,1,Set3,SAB36,T21_RA_D10,10
Set3_SAB37,-0.3012214299093511,xu_ventricular,SAB37,D21,No Treatment,D3,S3D21_D3_ctrl_3,F,3,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_3,1,Set3,SAB37,D21_CTRL_D3,3
Set3_SAB38,-0.29877189084958494,xu_ventricular,SAB38,T21,No Treatment,D3,S3T21 _D3 _ctrl_3,F,3,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_3,1,Set3,SAB38,T21_CTRL_D3,3
Set3_SAB39,-0.27606247123207317,xu_ventricular,SAB39,D21,No Treatment,D4,S3D21_D4_ctrl_3,F,3,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_3,1,Set3,SAB39,D21_CTRL_D4,4
Set3_SAB40,-0.2748718239119734,xu_ventricular,SAB40,T21,No Treatment,D4,S3T21 _D4 _ctrl_3,F,3,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_3,1,Set3,SAB40,T21_CTRL_D4,4
Set3_SAB41,-0.22462941102161899,xu_ventricular,SAB41,D21,1uM RA D3-D5,D4,S3D21_D4_RA_3,F,3,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_3,1,Set3,SAB41,D21_RA_D4,4
Set3_SAB42,-0.222262636470689,xu_ventricular,SAB42,T21,1uM RA D3-D5,D4,S3T21 _D4_RA_3,F,3,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_3,1,Set3,SAB42,T21_RA_D4,4
Set3_SAB43,-0.19437970904645124,xu_ventricular,SAB43,D21,No Treatment,D6,S3D21_D6_ctrl_3,F,3,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_3,1,Set3,SAB43,D21_CTRL_D6,6
Set3_SAB44,-0.14725330731333336,xu_ventricular,SAB44,T21,No Treatment,D6,S3T21 _D6_ctrl_3,F,3,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_3,1,Set3,SAB44,T21_CTRL_D6,6
Set3_SAB45,-0.16334592225072997,xu_ventricular,SAB45,D21,1uM RA D3-D5,D6,S3D21_D6_RA_3,F,3,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_3,1,Set3,SAB45,D21_RA_D6,6
Set3_SAB46,-0.12874454952149045,xu_ventricular,SAB46,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_3,F,3,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_3,1,Set3,SAB46,T21_RA_D6,6
Set3_SAB47,-0.039199158996429506,xu_ventricular,SAB47,D21,No Treatment,D8,S3D21_D8_ctrl_3,F,3,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_3,1,Set3,SAB47,D21_CTRL_D8,8
Set3_SAB48,-0.03293664449449035,xu_ventricular,SAB48,T21,No Treatment,D8,S3T21 _D8_ctrl_3,F,3,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_3,1,Set3,SAB48,T21_CTRL_D8,8
Set3_SAB49,-0.034167948064544706,xu_ventricular,SAB49,D21,1uM RA D3-D5,D8,S3D21_D8_RA_3,F,3,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_3,1,Set3,SAB49,D21_RA_D8,8
Set3_SAB50,-0.021702451426671376,xu_ventricular,SAB50,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_3,F,3,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_3,1,Set3,SAB50,T21_RA_D8,8
Set3_SAB51,0.014761848755846074,xu_ventricular,SAB51,D21,No Treatment,D10,S3D21_D10_ctrl_3,F,3,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_3,1,Set3,SAB51,D21_CTRL_D10,10
Set3_SAB52,0.02377301615650329,xu_ventricular,SAB52,T21,No Treatment,D10,S3T21 _D10_ctrl_3,F,3,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_3,1,Set3,SAB52,T21_CTRL_D10,10
Set3_SAB53,0.010527790724857322,xu_ventricular,SAB53,D21,1uM RA D3-D5,D10,S3D21_D10_RA_3,F,3,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_3,1,Set3,SAB53,D21_RA_D10,10
Set3_SAB54,0.003791921312732316,xu_ventricular,SAB54,T21,1uM RA D3-D5,D10,S3T21 _D10_RA_3,F,3,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_3,1,Set3,SAB54,T21_RA_D10,10
Set4_SAB01,-0.32426190756220774,xu_ventricular,SAB01,D21,No Treatment,D3,S4D21_D3_NT_1,M,1,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_1,1,Set4,SAB01,D21_CTRL_D3,3
Set4_SAB02,-0.32752166760321244,xu_ventricular,SAB02,T21,No Treatment,D3,S4T21_D3_NT_1,M,1,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_1,1,Set4,SAB02,T21_CTRL_D3,3
Set4_SAB03,-0.29938463861675824,xu_ventricular,SAB03,D21,No Treatment,D4,S4D21_D4_NT_1,M,1,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_1,1,Set4,SAB03,D21_CTRL_D4,4
Set4_SAB04,-0.31242222677185016,xu_ventricular,SAB04,T21,No Treatment,D4,S4T21_D4_NT_1,M,1,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_1,1,Set4,SAB04,T21_CTRL_D4,4
Set4_SAB05,-0.28973458728824264,xu_ventricular,SAB05,D21,1uM RA D3-D5,D4,S4D21_D4_RA_1,M,1,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_1,1,Set4,SAB05,D21_RA_D4,4
Set4_SAB06,-0.29298418326675874,xu_ventricular,SAB06,T21,1uM RA D3-D5,D4,S4T21_D4_RA_1,M,1,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_1,1,Set4,SAB06,T21_RA_D4,4
Set4_SAB07,-0.21046941996599394,xu_ventricular,SAB07,D21,No Treatment,D6,S4D21_D6_NT_1,M,1,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_1,1,Set4,SAB07,D21_CTRL_D6,6
Set4_SAB08,-0.20613662532797256,xu_ventricular,SAB08,T21,No Treatment,D6,S4T21_D6_NT_1,M,1,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_1,1,Set4,SAB08,T21_CTRL_D6,6
Set4_SAB09,-0.198407581809813,xu_ventricular,SAB09,D21,1uM RA D3-D5,D6,S4D21_D6_RA_1,M,1,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_1,1,Set4,SAB09,D21_RA_D6,6
Set4_SAB10,-0.1938569858327489,xu_ventricular,SAB10,T21,1uM RA D3-D5,D6,S4T21_D6_RA_1,M,1,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_1,1,Set4,SAB10,T21_RA_D6,6
Set4_SAB12,-0.32547869104299254,xu_ventricular,SAB12,T21,No Treatment,D3,S4T21_D3_NT_3,M,3,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_3,1,Set4,SAB12,T21_CTRL_D3,3
Set4_SAB14,-0.3132469678423583,xu_ventricular,SAB14,T21,No Treatment,D4,S4T21_D4_NT_3,M,3,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_3,1,Set4,SAB14,T21_CTRL_D4,4
Set4_SAB16,-0.27604940315173054,xu_ventricular,SAB16,T21,1uM RA D3-D5,D4,S4T21_D4_RA_3,M,3,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_3,1,Set4,SAB16,T21_RA_D4,4
Set4_SAB18,-0.19631088091929588,xu_ventricular,SAB18,T21,No Treatment,D6,S4T21_D6_NT_3,M,3,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_3,1,Set4,SAB18,T21_CTRL_D6,6
Set4_SAB20,-0.17603067223657287,xu_ventricular,SAB20,T21,1uM RA D3-D5,D6,S4T21_D6_RA_3,M,3,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_3,1,Set4,SAB20,T21_RA_D6,6
Set4_SAB21,-0.3188401062289731,xu_ventricular,SAB21,D21,No Treatment,D3,S4D21_D3_NT_4,M,4,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_4,1,Set4,SAB21,D21_CTRL_D3,3
Set4_SAB22,-0.3304881218409731,xu_ventricular,SAB22,T21,No Treatment,D3,S4T21_D3_NT_4,M,4,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_4,1,Set4,SAB22,T21_CTRL_D3,3
Set4_SAB23,-0.31674776136523686,xu_ventricular,SAB23,D21,No Treatment,D4,S4D21_D4_NT_4,M,4,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_4,1,Set4,SAB23,D21_CTRL_D4,4
Set4_SAB24,-0.3246626620260461,xu_ventricular,SAB24,T21,No Treatment,D4,S4T21_D4_NT_4,M,4,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_4,1,Set4,SAB24,T21_CTRL_D4,4
Set4_SAB25,-0.30441875356649695,xu_ventricular,SAB25,D21,1uM RA D3-D5,D4,S4D21_D4_RA_4,M,4,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_4,1,Set4,SAB25,D21_RA_D4,4
Set4_SAB26,-0.3005839979904196,xu_ventricular,SAB26,T21,1uM RA D3-D5,D4,S4T21_D4_RA_4,M,4,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_4,1,Set4,SAB26,T21_RA_D4,4
Set4_SAB61,-0.23866888533630704,xu_ventricular,SAB61,D21,No Treatment,D6,S4D21_D6_NT_4,M,4,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_4,2,Set4,SAB61,D21_CTRL_D6,6
Set4_SAB62,-0.23041857061337212,xu_ventricular,SAB62,T21,No Treatment,D6,S4T21_D6_NT_4,M,4,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_4,2,Set4,SAB62,T21_CTRL_D6,6
Set4_SAB63,-0.2457677569801699,xu_ventricular,SAB63,D21,1uM RA D3-D5,D6,S4D21_D6_RA_4,M,4,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_4,2,Set4,SAB63,D21_RA_D6,6
Set4_SAB64,-0.2149706476395417,xu_ventricular,SAB64,T21,1uM RA D3-D5,D6,S4T21_D6_RA_4,M,4,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_4,2,Set4,SAB64,T21_RA_D6,6
Set4_SAB65,-0.10512907633356133,xu_ventricular,SAB65,D21,No Treatment,D8,S4D21_D8_NT_1,M,1,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_1,2,Set4,SAB65,D21_CTRL_D8,8
Set4_SAB66,-0.08413012323199759,xu_ventricular,SAB66,T21,No Treatment,D8,S4T21_D8_NT_1,M,1,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_1,2,Set4,SAB66,T21_CTRL_D8,8
Set4_SAB67,-0.0722918944505671,xu_ventricular,SAB67,D21,1uM RA D3-D5,D8,S4D21_D8_RA_1,M,1,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_1,2,Set4,SAB67,D21_RA_D8,8
Set4_SAB68,-0.08045218462003101,xu_ventricular,SAB68,T21,1uM RA D3-D5,D8,S4T21_D8_RA_1,M,1,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_1,2,Set4,SAB68,T21_RA_D8,8
Set4_SAB69,0.0013525463154547834,xu_ventricular,SAB69,D21,No Treatment,D10,S4D21_D10_NT_1,M,1,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_1,2,Set4,SAB69,D21_CTRL_D10,10
Set4_SAB70,-0.01355522933754999,xu_ventricular,SAB70,T21,No Treatment,D10,S4T21_D10_NT_1,M,1,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_1,2,Set4,SAB70,T21_CTRL_D10,10
Set4_SAB71,-0.021096963704132832,xu_ventricular,SAB71,D21,1uM RA D3-D5,D10,S4D21_D10_RA_1,M,1,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_1,2,Set4,SAB71,D21_RA_D10,10
Set4_SAB72,-0.047042911219818184,xu_ventricular,SAB72,T21,1uM RA D3-D5,D10,S4T21_D10_RA_1,M,1,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_1,2,Set4,SAB72,T21_RA_D10,10
Set4_SAB74,-0.07988880515637409,xu_ventricular,SAB74,T21,No Treatment,D8,S4T21_D8_NT_3,M,3,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_3,2,Set4,SAB74,T21_CTRL_D8,8
Set4_SAB76,-0.050370915680389594,xu_ventricular,SAB76,T21,1uM RA D3-D5,D8,S4T21_D8_RA_3,M,3,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_3,2,Set4,SAB76,T21_RA_D8,8
Set4_SAB78,0.016687212592983003,xu_ventricular,SAB78,T21,No Treatment,D10,S4T21_D10_NT_3,M,3,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_3,2,Set4,SAB78,T21_CTRL_D10,10
Set4_SAB80,0.012730488267041817,xu_ventricular,SAB80,T21,1uM RA D3-D5,D10,S4T21_D10_RA_3,M,3,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_3,2,Set4,SAB80,T21_RA_D10,10
Set4_SAB81,-0.1275989144781262,xu_ventricular,SAB81,D21,No Treatment,D8,S4D21_D8_NT_4,M,4,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_4,2,Set4,SAB81,D21_CTRL_D8,8
Set4_SAB82,-0.09148890447378472,xu_ventricular,SAB82,T21,No Treatment,D8,S4T21_D8_NT_4,M,4,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_4,2,Set4,SAB82,T21_CTRL_D8,8
Set4_SAB83,-0.10320371249642446,xu_ventricular,SAB83,D21,1uM RA D3-D5,D8,S4D21_D8_RA_4,M,4,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_4,2,Set4,SAB83,D21_RA_D8,8
Set4_SAB84,-0.09327632746286124,xu_ventricular,SAB84,T21,1uM RA D3-D5,D8,S4T21_D8_RA_4,M,4,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_4,2,Set4,SAB84,T21_RA_D8,8
Set4_SAB85,-0.0031995016705362866,xu_ventricular,SAB85,D21,No Treatment,D10,S4D21_D10_NT_4,M,4,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_4,2,Set4,SAB85,D21_CTRL_D10,10
Set4_SAB86,0.006179023988639454,xu_ventricular,SAB86,T21,No Treatment,D10,S4T21_D10_NT_4,M,4,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_4,2,Set4,SAB86,T21_CTRL_D10,10
Set4_SAB87,-0.03703566569527267,xu_ventricular,SAB87,D21,1uM RA D3-D5,D10,S4D21_D10_RA_4,M,4,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_4,2,Set4,SAB87,D21_RA_D10,10
Set4_SAB88,-0.03534407529537492,xu_ventricular,SAB88,T21,1uM RA D3-D5,D10,S4T21_D10_RA_4,M,4,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_4,2,Set4,SAB88,T21_RA_D10,10
Set3_SAB01,-0.17182601180187163,xu_global_cm,SAB01,D21,No Treatment,D3,S3D21_D3_ctrl_1,F,1,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_1,1,Set3,SAB01,D21_CTRL_D3,3
Set3_SAB02,-0.18695386541097936,xu_global_cm,SAB02,T21,No Treatment,D3,S3T21 _D3 _ctrl_1,F,1,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_1,1,Set3,SAB02,T21_CTRL_D3,3
Set3_SAB03,-0.0980598438338201,xu_global_cm,SAB03,D21,No Treatment,D4,S3D21_D4_ctrl_1,F,1,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_1,1,Set3,SAB03,D21_CTRL_D4,4
Set3_SAB04,-0.13353400488764378,xu_global_cm,SAB04,T21,No Treatment,D4,S3T21 _D4 _ctrl_1,F,1,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_1,1,Set3,SAB04,T21_CTRL_D4,4
Set3_SAB05,-0.05913601955057518,xu_global_cm,SAB05,D21,1uM RA D3-D5,D4,S3D21_D4_RA_1,F,1,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_1,1,Set3,SAB05,D21_RA_D4,4
Set3_SAB06,-0.061018060439887944,xu_global_cm,SAB06,T21,1uM RA D3-D5,D4,S3T21 _D4_RA_1,F,1,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_1,1,Set3,SAB06,T21_RA_D4,4
Set3_SAB07,0.05140668772724566,xu_global_cm,SAB07,D21,No Treatment,D6,S3D21_D6_ctrl_1,F,1,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_1,1,Set3,SAB07,D21_CTRL_D6,6
Set3_SAB08,0.05567592537402399,xu_global_cm,SAB08,T21,No Treatment,D6,S3T21 _D6_ctrl_1,F,1,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_1,1,Set3,SAB08,T21_CTRL_D6,6
Set3_SAB09,0.03749031412052217,xu_global_cm,SAB09,D21,1uM RA D3-D5,D6,S3D21_D6_RA_1,F,1,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_1,1,Set3,SAB09,D21_RA_D6,6
Set3_SAB10,0.06836293735471177,xu_global_cm,SAB10,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_1,F,1,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_1,1,Set3,SAB10,T21_RA_D6,6
Set3_SAB11,0.15127406568516422,xu_global_cm,SAB11,D21,No Treatment,D8,S3D21_D8_ctrl_1,F,1,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_1,1,Set3,SAB11,D21_CTRL_D8,8
Set3_SAB12,0.14977200929844436,xu_global_cm,SAB12,T21,No Treatment,D8,S3T21 _D8_ctrl_1,F,1,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_1,1,Set3,SAB12,T21_CTRL_D8,8
Set3_SAB13,0.15117869702568998,xu_global_cm,SAB13,D21,1uM RA D3-D5,D8,S3D21_D8_RA_1,F,1,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_1,1,Set3,SAB13,D21_RA_D8,8
Set3_SAB14,0.18331346486260958,xu_global_cm,SAB14,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_1,F,1,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_1,1,Set3,SAB14,T21_RA_D8,8
Set3_SAB15,0.1786493413601955,xu_global_cm,SAB15,D21,No Treatment,D10,S3D21_D10_ctrl_1,F,1,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_1,1,Set3,SAB15,D21_CTRL_D10,10
Set3_SAB16,0.17568248196936276,xu_global_cm,SAB16,T21,No Treatment,D10,S3T21 _D10_ctrl_1,F,1,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_1,1,Set3,SAB16,T21_CTRL_D10,10
Set3_SAB17,0.19341956249627468,xu_global_cm,SAB17,D21,1uM RA D3-D5,D10,S3D21_D10_RA_1,F,1,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_1,1,Set3,SAB17,D21_RA_D10,10
